,sub,set,split,modality,prompt,opt1,opt2
0,130,18,3,w,piano,harp,xylophone
1,130,18,3,w,flute,piano,violin
2,130,18,3,w,frog,cat,songbird
3,130,18,3,w,rooster,horse,pig
4,130,18,3,w,tambourine,drum,xylophone
5,130,18,3,w,dog,rooster,songbird
6,130,18,3,w,duck,horse,songbird
7,130,18,3,w,ping pong,glass,toilet
8,130,18,3,w,songbird,cat,rooster
9,130,18,3,w,duck,dog,songbird
10,130,18,3,w,pig,dog,frog
11,130,18,3,w,pig,dog,duck
12,130,18,3,w,whistle,glass,ping pong
13,130,18,3,w,doorbell,ping pong,whistle
14,130,18,3,w,camera,basketball,whistle
15,130,18,3,w,trumpet,drum,violin
16,130,18,3,w,horse,pig,rooster
17,130,18,3,w,basketball,phone,toilet
18,130,18,3,w,xylophone,harp,violin
19,130,18,3,w,xylophone,flute,harp
20,130,18,3,w,phone,glass,ping pong
21,130,18,3,w,trumpet,bell,tambourine
22,130,18,3,w,cow,dog,pig
23,130,18,3,w,trumpet,guitar,violin
24,130,18,3,w,guitar,flute,violin
25,130,18,3,w,rooster,cat,pig
26,130,18,3,w,toilet,toilet,whistle
27,130,18,3,w,cat,duck,horse
28,130,18,3,w,camera,doorbell,paper
29,130,18,3,w,whistle,glass,toilet
30,130,18,3,w,violin,piano,trumpet
31,130,18,3,w,camera,glass,whistle
32,130,18,3,w,tambourine,guitar,trumpet
33,130,18,3,w,frog,duck,songbird
34,130,18,3,w,basketball,doorbell,glass
35,130,18,3,w,doorbell,cuckoo clock,glass
36,130,18,3,w,frog,cat,duck
37,130,18,3,w,bell,harp,violin
38,130,18,3,w,horse,frog,songbird
39,130,18,3,w,harp,flute,piano
40,130,18,3,w,duck,cat,sheep
41,130,18,3,w,xylophone,drum,piano
42,130,18,3,w,toilet,basketball,paper
43,130,18,3,w,paper,cuckoo clock,doorbell
44,130,18,3,w,dog,cat,pig
45,130,18,3,w,cow,frog,pig
46,130,18,3,w,songbird,frog,horse
47,130,18,3,w,xylophone,flute,tambourine
48,130,18,3,w,toilet,cuckoo clock,paper
49,130,18,3,w,cat,dog,sheep
50,130,18,3,w,doorbell,cuckoo clock,toilet
51,130,18,3,w,horse,cat,songbird
52,130,18,3,w,dog,cow,rooster
53,130,18,3,w,rooster,horse,sheep
54,130,18,3,w,horse,sheep,songbird
55,130,18,3,w,tambourine,piano,violin
56,130,18,3,w,whistle,paper,toilet
57,130,18,3,w,guitar,flute,harp
58,130,18,3,w,piano,bell,trumpet
59,130,18,3,w,phone,camera,glass
60,130,18,3,w,sheep,frog,songbird
61,130,18,3,w,ping pong,camera,doorbell
62,130,18,3,w,drum,drum,tambourine
63,130,18,3,w,trumpet,harp,piano
64,130,18,3,w,doorbell,camera,whistle
65,130,18,3,w,cuckoo clock,phone,toilet
66,130,18,3,w,whistle,basketball,cuckoo clock
67,130,18,3,w,frog,sheep,songbird
68,130,18,3,w,flute,bell,harp
69,130,18,3,w,basketball,paper,whistle
70,130,18,3,w,guitar,bell,drum
71,130,18,3,w,dog,cow,songbird
72,130,18,3,w,pig,cat,cow
73,130,18,3,w,horse,duck,pig
74,130,18,3,w,harp,piano,xylophone
75,130,18,3,w,xylophone,bell,flute
76,130,18,3,w,glass,basketball,ping pong
77,130,18,3,w,cow,horse,sheep
78,130,18,3,w,violin,bell,harp
79,130,18,3,w,paper,toilet,whistle
80,130,18,3,w,bell,flute,tambourine
81,130,18,3,w,glass,basketball,toilet
82,130,18,3,w,camera,cuckoo clock,ping pong
83,130,18,3,w,drum,violin,xylophone
84,130,18,3,w,drum,piano,tambourine
85,130,18,3,w,doorbell,basketball,camera
86,130,18,3,w,ping pong,doorbell,phone
87,130,18,3,w,cat,cow,sheep
88,130,18,3,w,flute,flute,tambourine
89,130,18,3,w,glass,camera,paper
90,130,18,3,w,sheep,duck,pig
91,130,18,3,w,frog,dog,rooster
92,130,18,3,w,violin,bell,flute
93,130,18,3,w,tambourine,harp,xylophone
94,130,18,3,w,songbird,horse,rooster
95,130,18,3,w,cuckoo clock,glass,paper
96,130,18,3,w,tambourine,trumpet,violin
97,130,18,3,w,toilet,basketball,doorbell
98,130,18,3,w,glass,basketball,doorbell
99,130,18,3,w,toilet,cuckoo clock,ping pong
100,130,18,3,w,dog,cat,dog
101,130,18,3,w,cuckoo clock,camera,doorbell
102,130,18,3,w,flute,harp,xylophone
103,130,18,3,w,pig,dog,rooster
104,130,18,3,w,sheep,cat,songbird
105,130,18,3,w,sheep,cat,pig
106,130,18,3,w,phone,basketball,doorbell
107,130,18,3,w,paper,glass,paper
108,130,18,3,w,ping pong,paper,toilet
109,130,18,3,w,guitar,bell,tambourine
110,130,18,3,w,violin,guitar,tambourine
111,130,18,3,w,trumpet,drum,guitar
112,130,18,3,w,dog,duck,sheep
113,130,18,3,w,drum,harp,tambourine
114,130,18,3,w,whistle,basketball,ping pong
115,130,18,3,w,songbird,cow,rooster
116,130,18,3,w,songbird,frog,pig
117,130,18,3,w,cow,dog,horse
118,130,18,3,w,ping pong,cuckoo clock,paper
119,130,18,3,w,whistle,glass,phone
120,130,18,3,w,harp,flute,violin
121,130,18,3,w,harp,bell,trumpet
122,130,18,3,w,rooster,pig,songbird
123,130,18,3,w,phone,cuckoo clock,paper
124,130,18,3,w,bell,trumpet,violin
125,130,18,3,w,piano,flute,xylophone
126,130,18,3,w,piano,bell,violin
127,130,18,3,w,cuckoo clock,basketball,camera
128,130,18,3,w,drum,guitar,trumpet
129,130,18,3,w,flute,tambourine,xylophone
130,130,18,3,w,cow,frog,rooster
131,130,18,3,w,duck,frog,sheep
132,130,18,3,w,guitar,drum,violin
133,130,18,3,w,paper,doorbell,toilet
134,130,18,3,w,tambourine,guitar,xylophone
135,130,18,3,w,sheep,pig,rooster
136,130,18,3,w,duck,pig,sheep
137,130,18,3,w,basketball,glass,paper
138,130,18,3,w,bell,guitar,xylophone
139,130,18,3,w,basketball,doorbell,toilet
140,130,18,3,w,cuckoo clock,ping pong,whistle
141,130,18,3,w,glass,basketball,paper
142,130,18,3,w,cat,horse,rooster
143,130,18,3,w,piano,harp,trumpet
144,130,18,3,w,camera,doorbell,glass
145,130,18,3,w,phone,camera,paper
146,130,18,3,w,cow,cat,dog
147,130,18,3,w,violin,harp,xylophone
148,130,18,3,w,pig,cow,sheep
149,130,18,3,w,cat,pig,rooster
150,130,18,3,w,bell,tambourine,trumpet
151,130,18,3,w,harp,bell,piano
152,130,18,3,w,flute,guitar,harp
153,130,18,3,w,rooster,cat,sheep
154,130,18,3,w,drum,bell,flute
155,130,18,3,w,paper,camera,cuckoo clock
156,130,18,3,w,songbird,dog,horse
157,130,18,3,w,ping pong,camera,paper
158,130,18,3,w,glass,ping pong,toilet
